thomas_num,thomas_name,last_name,first_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
21,"Barrett, William",Barrett, William,465,93,1973,PA,1,1,1,1948,0,0,0,66,4356,-0.476999998,0.430000007,0.157499999,25,0,0,1,0,0,13,169,0,0,0,0,0,0,3,2,2,2,1,22,0,0,0,0,3,0,0,0,0,28,2,2,2,1,1.654023051,
22,"Bauman, Robert",Bauman, Robert,14069,93,1973,MD,1,0,0,1973,0,0,0,,,0.500999987,0.547999978,0.820500016,8,0,0,0,0,0,1,1,1,0.252000004,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.062020905,
23,"Beard, Robin",Beard, Robin,14004,93,1973,TN,6,0,0,1972,0,0,0,55,3025,0.397000015,0.444000006,0.716500044,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0.04754936,
24,"Bell, Alphonzo",Bell, Alphonzo,10505,93,1973,CA,28,0,0,1960,0,0,0,61,3721,0.180999994,0.228,0.500500023,43,0,0,0,0,0,7,49,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,4,1,1,0,0,40,1,1,0,0,0.232831672,
25,"Benitez, Jamie",Benitez, Jamie,,93,1973,PR,1,,0,,0,0,1,,,,,,1,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0.05788618,
26,"Bennett, Charles",Bennett, Charles,633,93,1973,FL,3,1,1,1948,0,0,0,82,6724,-0.061000001,0.014,0.25850001,15,0,0,1,0,0,13,169,1,0.224000007,0,0,1,1,0,0,0,0,0,86,1,1,0,0,2,1,1,1,1,88,2,2,1,1,0.726484895,
27,"Bergland, Bob",Bergland, Bob,13007,93,1973,MN,7,1,1,1970,0,0,0,59,3481,-0.358999997,0.312000006,0.039499998,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0.125075489,
28,"Bevill, Tom",Bevill, Tom,11000,93,1973,AL,4,1,1,1966,0,0,0,70,4900,-0.123999998,0.077,0.195500001,7,0,0,0,1,0,4,16,1,0.085000001,0,0,1,1,0,0,0,0,0,16,0,0,0,0,1,1,1,1,1,17,1,1,1,1,0.176333532,
29,"Biaggi, Mario",Biaggi, Mario,12003,93,1973,NY,10,1,1,1968,0,0,0,94,8836,-0.31099999,0.263999999,0.008500011,39,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,5,1,1,1,1,161,1,1,1,1,0.904045522,
30,"Biester, Edward",Biester, Edward,11001,93,1973,PA,8,0,0,1966,0,0,0,64,4096,-0.028999999,0.018000001,0.290500015,25,0,0,0,0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0.114738673,
31,"Bingham, Jonathan",Bingham, Jonathan,10705,93,1973,NY,22,1,1,1964,0,0,0,76,5776,-0.537,0.49000001,0.217500001,39,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,5,0,0,0,0,113,0,0,0,0,0.563356578,
32,"Blackburn, Ben",Blackburn, Ben,11002,93,1973,GA,4,0,0,1966,0,0,0,76,5776,0.405999988,0.452999979,0.725499988,10,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,3,2,2,2,2,31,2,2,2,2,0.333027124,
33,"Blatnik, John",Blatnik, John,789,93,1973,MN,8,1,1,1947,0,0,0,76,5776,-0.40200001,0.355000019,0.082500011,8,0,1,0,0,0,14,196,1,0.210999995,0,0,0,0,5,5,5,5,3,56,2,2,2,1,1,0,0,0,0,62,7,7,7,4,5.033718109,
34,"Boggs, Corinne",Boggs, Corinne,14067,93,1973,LA,2,1,1,1973,1,0,0,,,-0.287,0.239999995,0.032499999,8,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,4,1,1,1,1,12,1,1,1,1,0.138087317,
35,"Boland, Edward",Boland, Edward,830,93,1973,MA,2,1,1,1952,0,0,0,100,10000,-0.312999994,0.266000003,0.006500007,12,0,0,1,1,0,11,121,1,0.386000007,0,0,0,0,2,2,2,2,2,33,0,0,0,0,4,0,0,0,0,39,2,2,2,2,2.047472239,
36,"Bolling, Richard",Bolling, Richard,835,93,1973,MO,5,1,1,1948,0,0,0,63,3969,-0.490999997,0.444000006,0.171499997,10,0,0,0,1,1,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,"Bowen, David",Bowen, David,14005,93,1973,MS,2,1,1,1972,0,0,0,62,3844,-0.015,0.032000002,0.304500014,5,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,24,1,1,1,1,1,0,0,0,0,25,1,1,1,1,0.588102043,
38,"Brademas, John",Brademas, John,948,93,1973,IN,3,1,1,1958,0,0,0,55,3025,-0.470999986,0.423999995,0.151499987,11,0,0,1,0,0,8,64,0,0,1,0,0,0,8,7,8,7,3,49,0,0,0,0,2,0,0,0,0,59,7,8,7,3,5.620785236,
39,"Brasco, Frank",Brasco, Frank,11004,93,1973,NY,11,1,1,1966,0,0,0,64,4096,-0.439999998,0.393000007,0.120499998,39,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,1,7,1,1,0,0,22,2,2,1,1,0.585254312,
