,thomas_num,thomas_name,first_name,last_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,votepct_sq,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les
4004,4004,"Ackerman, Gary", Gary,Ackerman,15000,102,1991,NY,7,1,1,1983,0,100,10000,-0.467999995,34,0,0,1,0,0,5,25,0,0,3,2,2,2,1,13,1,1,1,0,0,0,0,0,0,16,3,3,3,1,1.859140515
4450,4450,"Ackerman, Gary", Gary,Ackerman,15000,103,1993,NY,5,1,1,1983,0,52,2704,-0.465000004,31,0,0,1,0,0,6,36,0,0,0,0,0,0,0,12,2,1,1,0,0,0,0,0,0,12,2,1,1,0,0.512959719
4895,4895,"Ackerman, Gary", Gary,Ackerman,15000,104,1995,NY,5,1,0,1983,0,55,3025,-0.460999995,31,0,0,0,0,0,7,49,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.1721766
5340,5340,"Ackerman, Gary", Gary,Ackerman,15000,105,1997,NY,5,1,0,1983,0,64,4096,-0.458000004,31,0,0,0,0,0,8,64,0,0,0,0,0,0,0,23,1,0,0,0,1,1,1,1,0,24,2,1,1,0,0.583760202
5789,5789,"Ackerman, Gary", Gary,Ackerman,15000,106,1999,NY,5,1,0,1983,0,65,4225,-0.455000013,31,0,0,0,0,0,9,81,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.154211149
6232,6232,"Ackerman, Gary", Gary,Ackerman,15000,107,2001,NY,5,1,0,1983,0,68,4624,-0.451000005,31,0,0,0,0,0,10,100,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0.259440869
6679,6679,"Ackerman, Gary", Gary,Ackerman,15000,108,2003,NY,5,1,0,1983,0,92,8464,-0.448000014,29,0,0,0,0,0,11,121,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.149422273
7122,7122,"Ackerman, Gary", Gary,Ackerman,15000,109,2005,NY,5,1,0,1983,0,71,5041,-0.444999993,29,0,0,0,0,0,12,144,0,0,0,0,0,0,0,4,1,1,0,0,1,1,1,1,1,5,2,2,1,1,0.421256185
7566,7566,"Ackerman, Gary", Gary,Ackerman,15000,110,2007,NY,5,1,1,1983,0,100,10000,-0.441000015,29,0,0,1,0,0,13,169,0,0,0,0,0,0,0,29,1,1,1,0,0,0,0,0,0,29,1,1,1,0,0.630356908
8018,8018,"Ackerman, Gary", Gary,Ackerman,15000,111,2009,NY,5,1,1,1983,0,71,5041,-0.370999992,29,0,0,1,0,0,14,196,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.237246081
8467,8468,"Ackerman, Gary", Gary,Ackerman,15000,112,2011,NY,5,1,0,1983,0,63,3969,-0.363000005,29,0,0,0,0,0,15,225,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0.202061713
3,3,"Adams, Brock", Brock,Adams,10700,93,1973,WA,7,1,1,1964,0,85,7225,-0.361000001,7,0,0,1,0,1,5,25,0,0,2,1,1,1,0,33,1,1,1,1,2,0,0,0,0,37,2,2,2,1,1.236478448
448,448,"Adams, Brock", Brock,Adams,10700,94,1975,WA,7,1,1,1964,0,71,5041,-0.361999989,7,0,1,0,0,1,6,36,0,0,0,0,0,0,0,6,0,0,0,0,3,1,1,1,1,9,1,1,1,1,0.122989751
8468,8469,"Adams, Sandy", Sandy,Adams,21120,112,2011,FL,24,0,1,2010,1,60,3600,0.777999997,25,0,0,0,0,0,1,1,0,0,1,1,1,1,0,5,1,1,1,0,0,0,0,0,0,6,2,2,2,0,1.307580352
4,4,"Addabbo, Joseph", Joseph,Addabbo,10500,93,1973,NY,7,1,1,1960,0,75,5625,-0.400000006,39,0,0,1,1,0,7,49,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,38,0,0,0,0,0.15505226
449,449,"Addabbo, Joseph", Joseph,Addabbo,10500,94,1975,NY,7,1,1,1960,0,100,10000,-0.421999991,39,0,0,1,1,0,8,64,0,0,0,0,0,0,0,32,1,1,1,0,4,0,0,0,0,36,1,1,1,0,0.44837752
891,891,"Addabbo, Joseph", Joseph,Addabbo,10500,95,1977,NY,7,1,1,1960,0,100,10000,-0.444000006,39,0,0,1,1,0,9,81,0,0,1,0,1,1,1,18,0,0,0,0,2,0,0,0,0,21,0,1,1,1,0.768916667
