,thomas_num,thomas_name,first_name,last_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,votepct_sq,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les
8552,8553,"Conaway, K.", K.,Conaway,20531,112,2011,TX,11,0,1,2004,0,81,6561,0.709999979,32,0,0,1,0,0,4,16,0,0,0,0,0,0,0,4,1,1,0,0,1,1,1,1,0,5,2,2,1,0,0.365188986
3623,3623,"Condit, Gary", Gary,Condit,15635,101,1989,CA,15,1,1,1989,0,NA,NA,0.011,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,3,1,1,1,0,0.29526329
4075,4075,"Condit, Gary", Gary,Condit,15635,102,1991,CA,15,1,1,1989,0,66,4356,-0.026000001,45,0,0,0,0,0,2,4,0,0,1,1,1,1,1,7,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1.014132977
4521,4521,"Condit, Gary", Gary,Condit,15635,103,1993,CA,18,1,1,1989,0,85,7225,-0.061999999,52,0,0,1,0,0,3,9,0,0,1,1,0,0,0,11,4,1,1,1,0,0,0,0,0,12,5,1,1,1,1.020610452
4971,4971,"Condit, Gary", Gary,Condit,15635,104,1995,CA,18,1,0,1989,0,66,4356,-0.098999999,52,0,0,0,0,0,4,16,0,0,2,2,2,1,0,17,1,3,3,0,0,0,0,0,0,19,3,5,4,0,2.09042716
5415,5415,"Condit, Gary", Gary,Condit,15635,105,1997,CA,18,1,0,1989,0,66,4356,-0.136000007,52,0,0,0,0,0,5,25,0,0,0,0,0,0,0,20,4,3,3,1,0,0,0,0,0,20,4,3,3,1,1.821554422
5865,5865,"Condit, Gary", Gary,Condit,15635,106,1999,CA,18,1,0,1989,0,87,7569,-0.172000006,52,0,0,0,0,0,6,36,0,0,1,1,1,1,0,10,1,2,2,1,0,0,0,0,0,11,2,3,3,1,1.495208025
6304,6304,"Condit, Gary", Gary,Condit,15635,107,2001,CA,18,1,0,1989,0,67,4489,-0.209000006,52,0,0,0,0,0,7,49,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,8,1,1,0,0,0.35877347
84,84,"Conlan, John", John,Conlan,14011,93,1973,AZ,4,0,0,1972,0,53,2809,0.532999992,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.025842045
528,528,"Conlan, John", John,Conlan,14011,94,1975,AZ,4,0,0,1972,0,55,3025,0.532999992,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.045858886
8104,8104,"Connolly, Gerald", Gerald,Connolly,20952,111,2009,VA,11,1,1,2008,0,55,3025,-0.270000011,11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,25,2,1,1,0,0,0,0,0,0,25,2,1,1,0,0.811802924
8553,8554,"Connolly, Gerald", Gerald,Connolly,20952,112,2011,VA,11,1,0,2008,0,49,2401,-0.270000011,11,0,0,0,0,0,2,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0.375788361
85,85,"Conte, Silvio", Silvio,Conte,2009,93,1973,MA,1,0,0,1958,0,100,10000,-0.048999999,12,0,0,0,1,0,8,64,0,0,1,1,1,1,1,70,0,0,0,0,7,2,2,2,1,78,3,3,3,2,1.456035018
529,529,"Conte, Silvio", Silvio,Conte,2009,94,1975,MA,1,0,0,1958,0,71,5041,-0.056000002,12,0,0,0,1,0,9,81,0,0,0,0,0,0,0,51,1,1,1,0,6,2,2,2,2,57,3,3,3,2,0.729897678
974,974,"Conte, Silvio", Silvio,Conte,2009,95,1977,MA,1,0,0,1958,0,64,4096,-0.061999999,12,0,0,0,1,0,10,100,0,0,1,1,1,1,1,91,0,0,0,0,5,1,1,1,1,97,2,2,2,2,1.468829751
1411,1411,"Conte, Silvio", Silvio,Conte,2009,96,1979,MA,1,0,0,1958,0,100,10000,-0.068999998,12,0,0,0,1,0,11,121,0,0,0,0,0,0,0,43,0,0,0,0,4,0,0,0,0,47,0,0,0,0,0.471646249
1844,1844,"Conte, Silvio", Silvio,Conte,2009,97,1981,MA,1,0,0,1958,0,75,5625,-0.075000003,12,0,0,0,1,0,12,144,0,0,0,0,0,0,0,19,3,0,0,0,2,0,0,0,0,21,3,0,0,0,0.401842862
2289,2289,"Conte, Silvio", Silvio,Conte,2009,98,1983,MA,1,0,0,1958,0,100,10000,-0.081,11,0,0,0,1,0,13,169,0,0,0,0,0,0,0,26,2,1,1,1,2,1,1,1,1,28,3,2,2,2,0.940367997
2740,2740,"Conte, Silvio", Silvio,Conte,2009,99,1985,MA,1,0,0,1958,0,73,5329,-0.088,11,0,0,0,1,0,14,196,0,0,1,1,1,0,0,24,3,1,1,1,1,0,0,0,0,26,4,2,1,1,1.361305118
3184,3184,"Conte, Silvio", Silvio,Conte,2009,100,1987,MA,1,0,0,1958,0,78,6084,-0.093999997,11,0,0,0,1,0,15,225,0,0,0,0,0,0,0,14,2,1,0,0,2,1,1,1,1,16,3,2,1,1,0.50258112
3624,3624,"Conte, Silvio", Silvio,Conte,2009,101,1989,MA,1,0,0,1958,0,83,6889,-0.100000001,11,0,0,0,1,0,16,256,0,0,4,3,3,3,1,40,4,2,2,0,1,0,0,0,0,45,7,5,5,1,3.254426718
4076,4076,"Conte, Silvio", Silvio,Conte,2009,102,1991,MA,1,0,0,1958,0,NA,NA,NA,11,0,0,0,1,0,17,289,0,0,0,0,0,0,0,15,3,1,1,1,0,0,0,0,0,15,3,1,1,1,0.764549613
86,86,"Conyers, John", John,Conyers,10713,93,1973,MI,1,1,1,1964,0,88,7744,-0.762000024,19,0,0,1,0,0,5,25,0,0,1,1,1,1,0,27,0,0,0,0,0,0,0,0,0,28,1,1,1,0,0.730037272
530,530,"Conyers, John", John,Conyers,10713,94,1975,MI,1,1,1,1964,0,91,8281,-0.759000003,19,0,0,1,0,0,6,36,0,0,2,2,2,1,0,11,0,0,0,0,0,0,0,0,0,13,2,2,1,0,0.94046241
975,975,"Conyers, John", John,Conyers,10713,95,1977,MI,1,1,1,1964,0,93,8649,-0.755999982,19,0,0,1,0,0,7,49,0,0,2,1,1,1,0,9,0,0,0,0,6,0,0,0,0,17,1,1,1,0,0.572543681
1412,1412,"Conyers, John", John,Conyers,10713,96,1979,MI,1,1,1,1964,0,93,8649,-0.753000021,19,0,0,1,0,0,8,64,0,0,2,1,1,0,0,7,1,1,0,0,1,0,0,0,0,10,2,2,0,0,0.608068168
1845,1845,"Conyers, John", John,Conyers,10713,97,1981,MI,1,1,1,1964,0,95,9025,-0.75,19,0,0,1,0,0,9,81,0,0,1,1,0,0,0,16,6,0,0,0,1,1,0,0,0,18,8,0,0,0,0.671272695
2290,2290,"Conyers, John", John,Conyers,10713,98,1983,MI,1,1,1,1964,0,97,9409,-0.746999979,18,0,0,1,0,0,10,100,0,0,6,6,6,4,0,24,9,1,0,0,1,1,0,0,0,31,16,7,4,0,3.328213453
2741,2741,"Conyers, John", John,Conyers,10713,99,1985,MI,1,1,1,1964,0,89,7921,-0.744000018,18,0,0,1,0,0,11,121,0,0,3,2,3,3,3,28,13,3,2,1,0,0,0,0,0,31,15,6,5,4,5.2026124
3185,3185,"Conyers, John", John,Conyers,10713,100,1987,MI,1,1,1,1964,0,89,7921,-0.740999997,18,0,0,1,0,0,12,144,0,0,1,1,1,1,0,31,15,4,4,1,3,0,0,0,0,35,16,5,5,1,2.762541056
3625,3625,"Conyers, John", John,Conyers,10713,101,1989,MI,1,1,1,1964,0,91,8281,-0.737999976,18,0,1,1,0,0,13,169,0,0,5,5,5,5,3,16,8,4,3,1,1,0,0,0,0,22,13,9,8,4,5.534594059
4077,4077,"Conyers, John", John,Conyers,10713,102,1991,MI,1,1,1,1964,0,89,7921,-0.735000014,18,0,1,1,0,0,14,196,0,0,8,6,5,2,1,17,1,1,0,0,1,0,0,0,0,26,7,6,2,1,2.882586241
4522,4522,"Conyers, John", John,Conyers,10713,103,1993,MI,14,1,1,1964,0,82,6724,-0.731999993,16,0,1,1,0,0,15,225,0,0,6,6,6,4,1,19,3,1,0,0,2,0,0,0,0,27,9,7,4,1,3.948429823
4972,4972,"Conyers, John", John,Conyers,10713,104,1995,MI,14,1,0,1964,0,82,6724,-0.728999972,16,0,0,0,0,0,16,256,0,0,1,1,1,1,1,7,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1.329439402
5416,5416,"Conyers, John", John,Conyers,10713,105,1997,MI,14,1,0,1964,0,86,7396,-0.726000011,16,0,0,0,0,0,17,289,0,0,1,0,0,0,0,18,3,2,1,0,1,0,0,0,0,20,3,2,1,0,1.015891552
5866,5866,"Conyers, John", John,Conyers,10713,106,1999,MI,14,1,0,1964,0,87,7569,-0.72299999,16,0,0,0,0,0,18,324,0,0,1,0,0,0,0,18,3,1,0,0,0,0,0,0,0,19,3,1,0,0,0.653443456
6305,6305,"Conyers, John", John,Conyers,10713,107,2001,MI,14,1,0,1964,0,89,7921,-0.720000029,16,0,0,0,0,0,19,361,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,23,2,0,0,0,0.596916735
6758,6758,"Conyers, John", John,Conyers,10713,108,2003,MI,14,1,0,1964,0,83,6889,-0.717000008,15,0,0,0,0,0,20,400,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,28,1,0,0,0,0.56289345
7201,7201,"Conyers, John", John,Conyers,10713,109,2005,MI,14,1,0,1964,0,84,7056,-0.713999987,15,0,0,0,0,0,21,441,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0.363624901
7650,7650,"Conyers, John", John,Conyers,10713,110,2007,MI,14,1,1,1964,0,85,7225,-0.711000025,15,0,1,0,0,0,22,484,0,0,4,3,4,3,1,35,14,13,8,5,1,0,0,0,0,40,17,17,11,6,7.789942265
8105,8105,"Conyers, John", John,Conyers,10713,111,2009,MI,14,1,1,1964,0,92,8464,-0.614000022,15,0,1,0,0,0,23,529,0,0,2,1,2,1,0,44,15,12,7,4,2,0,0,0,0,48,16,14,8,4,7.012754917
8554,8555,"Conyers, John", John,Conyers,10713,112,2011,MI,14,1,0,1964,0,77,5929,-0.610000014,15,0,0,0,0,0,24,576,0,0,0,0,0,0,0,32,2,3,3,2,2,1,1,1,0,34,3,4,4,2,2.530175209
5417,5417,"Cook, Merrill", Merrill,Cook,29765,105,1997,UT,2,0,1,1996,0,55,3025,0.414999992,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,8,0,1,1,0,0.398680031
5867,5867,"Cook, Merrill", Merrill,Cook,29765,106,1999,UT,2,0,1,1996,0,53,2809,0.414999992,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,12,2,2,2,2,0.809969187
5418,5418,"Cooksey, John", John,Cooksey,29726,105,1997,LA,5,0,1,1996,0,58,3364,0.38499999,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0904039
5868,5868,"Cooksey, John", John,Cooksey,29726,106,1999,LA,5,0,1,1996,0,100,10000,0.38499999,7,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.03084223
6306,6306,"Cooksey, John", John,Cooksey,29726,107,2001,LA,5,0,1,1996,0,NA,NA,0.38499999,7,0,0,0,0,0,3,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.062427986
4973,4973,"Cooley, Wes", Wes,Cooley,29557,104,1995,OR,2,0,1,1994,0,57,3249,0.802999973,5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,11,6,5,2,1,2,1,1,1,1,14,8,6,3,2,2.004414082
2291,2291,"Cooper, Jim", Jim,Cooper,15019,98,1983,TN,4,1,1,1982,0,66,4356,-0.128999993,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013643068
2742,2742,"Cooper, Jim", Jim,Cooper,15019,99,1985,TN,4,1,1,1982,0,75,5625,-0.138999999,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.076845862
3186,3186,"Cooper, Jim", Jim,Cooper,15019,100,1987,TN,4,1,1,1982,0,100,10000,-0.150000006,9,0,0,0,0,0,3,9,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.093010321
3626,3626,"Cooper, Jim", Jim,Cooper,15019,101,1989,TN,4,1,1,1982,0,100,10000,-0.159999996,9,0,0,0,0,0,4,16,0,0,2,2,1,1,1,12,2,2,1,1,0,0,0,0,0,14,4,3,2,2,1.892042041
4078,4078,"Cooper, Jim", Jim,Cooper,15019,102,1991,TN,4,1,1,1982,0,67,4489,-0.170000002,9,0,0,0,0,1,5,25,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0.25070706
4523,4523,"Cooper, Jim", Jim,Cooper,15019,103,1993,TN,4,1,1,1982,0,64,4096,-0.180000007,9,0,0,0,0,1,6,36,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0.236521021
6759,6759,"Cooper, Jim", Jim,Cooper,15019,108,2003,TN,5,1,0,2002,0,64,4096,-0.191,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.11621733
7202,7202,"Cooper, Jim", Jim,Cooper,15019,109,2005,TN,5,1,0,2002,0,69,4761,-0.201000005,9,0,0,0,0,1,2,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.111884587
7651,7651,"Cooper, Jim", Jim,Cooper,15019,110,2007,TN,5,1,1,2002,0,69,4761,-0.210999995,9,0,0,0,0,1,3,9,0,0,0,0,0,0,0,10,2,1,1,1,0,0,0,0,0,10,2,1,1,1,0.824476361
8106,8106,"Cooper, Jim", Jim,Cooper,15019,111,2009,TN,5,1,1,2002,0,66,4356,-0.224999994,9,0,0,0,0,0,4,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.069778264
8555,8556,"Cooper, Jim", Jim,Cooper,15019,112,2011,TN,5,1,0,2002,0,56,3136,-0.234999999,9,0,0,0,0,0,5,25,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,8,2,1,0,0,0.443394572
4524,4524,"Coppersmith, Sam", Sam,Coppersmith,29303,103,1993,AZ,1,1,1,1992,0,51,2601,-0.240999997,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.078166172
976,976,"Corcoran, Tom", Tom,Corcoran,14411,95,1977,IL,15,0,0,1976,0,54,2916,0.289000005,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.151312888
1413,1413,"Corcoran, Tom", Tom,Corcoran,14411,96,1979,IL,15,0,0,1976,0,62,3844,0.289000005,24,0,0,0,0,0,2,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.161522686
1846,1846,"Corcoran, Tom", Tom,Corcoran,14411,97,1981,IL,15,0,0,1976,0,77,5929,0.289000005,24,0,0,0,0,0,3,9,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,23,2,0,0,0,0.391348094
2292,2292,"Corcoran, Tom", Tom,Corcoran,14411,98,1983,IL,14,0,0,1976,0,65,4225,0.289000005,22,0,0,0,0,0,4,16,0,0,1,1,0,0,0,23,3,1,1,0,0,0,0,0,0,24,4,1,1,0,0.753028393
87,87,"Corman, James", James,Corman,10511,93,1973,CA,22,1,1,1960,0,68,4624,-0.536000013,43,0,0,1,1,0,7,49,0,0,1,1,1,1,1,56,0,0,0,0,6,0,0,0,0,63,1,1,1,1,1.232023001
531,531,"Corman, James", James,Corman,10511,94,1975,CA,21,1,1,1960,0,74,5476,-0.547999978,43,0,0,1,1,0,8,64,0,0,7,6,6,6,3,105,9,10,9,4,3,0,0,0,0,115,15,16,15,7,7.888813496
977,977,"Corman, James", James,Corman,10511,95,1977,CA,21,1,1,1960,0,70,4900,-0.560000002,43,0,0,1,1,0,9,81,0,0,7,5,5,4,2,76,5,5,4,1,3,1,1,1,1,86,11,11,9,4,4.796281815
1414,1414,"Corman, James", James,Corman,10511,96,1979,CA,21,1,1,1960,0,62,3844,-0.572000027,43,0,0,1,1,0,10,100,0,0,6,5,5,5,1,32,2,2,2,1,5,2,2,2,2,43,9,9,9,4,4.272646427
532,532,"Cornell, Robert", Robert,Cornell,14211,94,1975,WI,8,1,1,1974,0,54,2916,-0.328000009,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0.190314382
978,978,"Cornell, Robert", Robert,Cornell,14211,95,1977,WI,8,1,1,1974,0,NA,NA,-0.328000009,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,19,1,1,1,1,1,0,0,0,0,20,1,1,1,1,0.519317389
979,979,"Cornwell, David", David,Cornwell,14412,95,1977,IN,8,1,1,1976,0,50,2500,-0.231999993,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,2,1,1,1,1,20,1,1,1,1,0.195659965
980,980,"Corrada, Baltasar", Baltasar,Corrada,NA,95,1977,PR,1,3,0,1977,0,NA,NA,NA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,0,0,0,0,4,1,1,1,1,27,1,1,1,1,0.229705364
1415,1415,"Corrada, Baltasar", Baltasar,Corrada,NA,96,1979,PR,1,3,0,1977,0,NA,NA,NA,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0.159369051
1847,1847,"Corrada, Baltasar", Baltasar,Corrada,NA,97,1981,PR,1,3,0,1977,0,NA,NA,NA,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,16,1,1,1,0,2,0,0,0,0,18,1,1,1,0,0.492487967
2293,2293,"Corrada, Baltasar", Baltasar,Corrada,NA,98,1983,PR,1,3,0,1977,0,NA,NA,NA,1,0,0,0,0,0,4,16,0,0,2,2,2,2,2,12,0,0,0,0,2,2,2,2,2,16,4,4,4,4,2.183898926
2743,2743,"Corrada, Baltasar", Baltasar,Corrada,NA,99,1985,PR,1,3,0,1977,0,NA,NA,NA,1,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7203,7203,"Costa, Jim", Jim,Costa,20501,109,2005,CA,20,1,0,2004,0,53,2809,-0.259000003,53,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.083913438
7652,7652,"Costa, Jim", Jim,Costa,20501,110,2007,CA,20,1,1,2004,0,100,10000,-0.259000003,53,0,0,1,0,0,2,4,0,0,0,0,0,0,0,17,4,3,1,0,0,0,0,0,0,17,4,3,1,0,0.904620826
8107,8107,"Costa, Jim", Jim,Costa,20501,111,2009,CA,20,1,1,2004,0,74,5476,-0.192000002,53,0,0,1,0,0,3,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0.240955904
8556,8557,"Costa, Jim", Jim,Costa,20501,112,2011,CA,20,1,0,2004,0,52,2704,-0.192000002,53,0,0,0,0,0,4,16,0,0,0,0,0,0,0,18,0,0,0,0,2,1,1,1,1,20,1,1,1,1,0.418746203
3187,3187,"Costello, Jerry", Jerry,Costello,15453,100,1987,IL,21,1,1,1988,0,NA,NA,-0.200000003,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3627,3627,"Costello, Jerry", Jerry,Costello,15453,101,1989,IL,21,1,1,1988,0,53,2809,-0.222000003,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,3,1,2,2,2,0.533117056
4079,4079,"Costello, Jerry", Jerry,Costello,15453,102,1991,IL,21,1,1,1988,0,66,4356,-0.244000003,22,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0.500290394
4525,4525,"Costello, Jerry", Jerry,Costello,15453,103,1993,IL,12,1,1,1988,0,71,5041,-0.264999986,20,0,0,0,0,1,3,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0.141710371
4974,4974,"Costello, Jerry", Jerry,Costello,15453,104,1995,IL,12,1,0,1988,0,66,4356,-0.287,20,0,0,0,0,1,4,16,0,0,0,0,0,0,0,5,1,1,1,1,0,0,0,0,0,5,1,1,1,1,0.674285054
5419,5419,"Costello, Jerry", Jerry,Costello,15453,105,1997,IL,12,1,0,1988,0,72,5184,-0.307999998,20,0,0,0,0,1,5,25,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.108484678
5869,5869,"Costello, Jerry", Jerry,Costello,15453,106,1999,IL,12,1,0,1988,0,60,3600,-0.330000013,20,0,0,0,0,0,6,36,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0.577307284
6307,6307,"Costello, Jerry", Jerry,Costello,15453,107,2001,IL,12,1,0,1988,0,100,10000,-0.351000011,20,0,0,0,0,0,7,49,0,0,0,0,0,0,0,3,1,1,1,0,2,1,1,1,1,5,2,2,2,1,0.565777361
6760,6760,"Costello, Jerry", Jerry,Costello,15453,108,2003,IL,12,1,0,1988,0,69,4761,-0.372999996,19,0,0,0,0,0,8,64,0,0,0,0,0,0,0,8,0,0,0,0,1,1,1,0,0,9,1,1,0,0,0.180081204
7204,7204,"Costello, Jerry", Jerry,Costello,15453,109,2005,IL,12,1,0,1988,0,69,4761,-0.393999994,19,0,0,0,0,0,9,81,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,1,5,0,1,1,1,0.169785365
7653,7653,"Costello, Jerry", Jerry,Costello,15453,110,2007,IL,12,1,1,1988,0,100,10000,-0.416000009,19,0,0,1,0,0,10,100,0,0,0,0,0,0,0,5,2,1,1,0,1,1,1,1,1,6,3,2,2,1,0.541449964
8108,8108,"Costello, Jerry", Jerry,Costello,15453,111,2009,IL,12,1,1,1988,0,100,10000,-0.391000003,19,0,0,1,0,0,11,121,0,0,0,0,0,0,0,6,2,3,3,2,0,0,0,0,0,6,2,3,3,2,1.788250804
8557,8558,"Costello, Jerry", Jerry,Costello,15453,112,2011,IL,12,1,0,1988,0,60,3600,-0.404000014,18,0,0,0,0,0,12,144,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.09394709
88,88,"Cotter, William", William,Cotter,13009,93,1973,CT,1,1,1,1970,0,57,3249,-0.298999995,6,0,0,0,0,0,2,4,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0.043414634
533,533,"Cotter, William", William,Cotter,13009,94,1975,CT,1,1,1,1970,0,64,4096,-0.294999987,6,0,0,0,1,0,3,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.103182495
981,981,"Cotter, William", William,Cotter,13009,95,1977,CT,1,1,1,1970,0,58,3364,-0.291000009,6,0,0,0,1,0,4,16,0,0,0,0,0,0,0,20,2,2,2,1,1,0,0,0,0,21,2,2,2,1,0.767130554
1416,1416,"Cotter, William", William,Cotter,13009,96,1979,CT,1,1,1,1970,0,60,3600,-0.287999988,6,0,0,0,1,0,5,25,0,0,1,0,0,0,0,16,1,1,1,0,2,1,1,1,1,19,2,2,2,1,0.541952312
1848,1848,"Cotter, William", William,Cotter,13009,97,1981,CT,1,1,1,1970,0,63,3969,NA,6,0,0,1,1,0,6,36,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.061317641
89,89,"Coughlin, Lawrence", Lawrence,Coughlin,12010,93,1973,PA,13,0,0,1968,0,67,4489,0.163000003,25,0,0,0,1,0,3,9,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0.106469221
534,534,"Coughlin, Lawrence", Lawrence,Coughlin,12010,94,1975,PA,13,0,0,1968,0,62,3844,0.165999994,25,0,0,0,1,0,4,16,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.12611194
982,982,"Coughlin, Lawrence", Lawrence,Coughlin,12010,95,1977,PA,13,0,0,1968,0,63,3969,0.169,25,0,0,0,1,0,5,25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.113484666
1417,1417,"Coughlin, Lawrence", Lawrence,Coughlin,12010,96,1979,PA,13,0,0,1968,0,71,5041,0.171000004,25,0,0,0,1,0,6,36,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.064609073
1849,1849,"Coughlin, Lawrence", Lawrence,Coughlin,12010,97,1981,PA,13,0,0,1968,0,71,5041,0.173999995,25,0,0,0,1,0,7,49,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0.103697583
2294,2294,"Coughlin, Lawrence", Lawrence,Coughlin,12010,98,1983,PA,13,0,0,1968,0,64,4096,0.177000001,23,0,0,0,1,0,8,64,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0.100176215
2744,2744,"Coughlin, Lawrence", Lawrence,Coughlin,12010,99,1985,PA,13,0,0,1968,0,56,3136,0.180000007,23,0,0,0,1,0,9,81,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0.04918135
3188,3188,"Coughlin, Lawrence", Lawrence,Coughlin,12010,100,1987,PA,13,0,0,1968,0,59,3481,0.182999998,23,0,0,0,1,0,10,100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.018602064
3628,3628,"Coughlin, Lawrence", Lawrence,Coughlin,12010,101,1989,PA,13,0,0,1968,0,67,4489,0.186000004,23,0,0,0,1,0,11,121,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0.17303884
4080,4080,"Coughlin, Lawrence", Lawrence,Coughlin,12010,102,1991,PA,13,0,0,1968,0,60,3600,0.188999996,23,0,0,0,1,0,12,144,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0.178887874
1418,1418,"Courter, Jim", Jim,Courter,14614,96,1979,NJ,13,0,0,1978,0,52,2704,0.246999994,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.043072715
1850,1850,"Courter, Jim", Jim,Courter,14614,97,1981,NJ,13,0,0,1978,0,72,5184,0.245000005,15,0,0,0,0,0,2,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.098108225
2295,2295,"Courter, Jim", Jim,Courter,14614,98,1983,NJ,12,0,0,1978,0,67,4489,0.243000001,14,0,0,0,0,0,3,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.095501475
